"Date","Price","Open","High","Low","Change %"
"Feb 18, 2020","1.3926","1.3893","1.3936","1.3884","0.24%"
"Feb 17, 2020","1.3893","1.3915","1.3929","1.3881","-0.18%"
"Feb 14, 2020","1.3918","1.3895","1.3932","1.3887","0.17%"
"Feb 13, 2020","1.3894","1.3861","1.3901","1.3861","0.22%"
"Feb 12, 2020","1.3863","1.3862","1.3879","1.3847","0.00%"
"Feb 11, 2020","1.3863","1.3897","1.3899","1.3857","-0.24%"
"Feb 10, 2020","1.3897","1.3895","1.3924","1.3877","0.01%"
"Feb 07, 2020","1.3895","1.3858","1.3919","1.3849","0.27%"
"Feb 06, 2020","1.3858","1.3815","1.3869","1.3797","0.31%"
"Feb 05, 2020","1.3815","1.3705","1.3825","1.3698","0.83%"
"Feb 04, 2020","1.3701","1.3686","1.3730","1.3681","0.09%"
"Feb 03, 2020","1.3689","1.3651","1.3696","1.3640","0.28%"
"Jan 31, 2020","1.3651","1.3618","1.3674","1.3606","0.24%"
"Jan 30, 2020","1.3618","1.3606","1.3640","1.3598","0.08%"
"Jan 29, 2020","1.3607","1.3579","1.3623","1.3565","0.21%"
"Jan 28, 2020","1.3579","1.3575","1.3599","1.3565","0.01%"
"Jan 27, 2020","1.3577","1.3514","1.3584","1.3513","0.46%"
"Jan 24, 2020","1.3515","1.3519","1.3527","1.3496","0.01%"
"Jan 23, 2020","1.3514","1.3487","1.3530","1.3478","0.21%"
"Jan 22, 2020","1.3486","1.3498","1.3513","1.3482","-0.11%"
"Jan 21, 2020","1.3501","1.3467","1.3506","1.3462","0.25%"
"Jan 20, 2020","1.3467","1.3472","1.3483","1.3459","-0.06%"
"Jan 17, 2020","1.3475","1.3472","1.3480","1.3453","0.02%"
"Jan 16, 2020","1.3472","1.3461","1.3477","1.3447","0.09%"
"Jan 15, 2020","1.3460","1.3465","1.3482","1.3456","-0.07%"
"Jan 14, 2020","1.3469","1.3464","1.3485","1.3453","0.03%"
"Jan 13, 2020","1.3465","1.3490","1.3491","1.3458","-0.16%"
"Jan 10, 2020","1.3486","1.3518","1.3518","1.3478","-0.22%"
"Jan 09, 2020","1.3516","1.3512","1.3526","1.3489","0.04%"
"Jan 08, 2020","1.3510","1.3500","1.3529","1.3495","0.07%"
"Jan 07, 2020","1.3501","1.3494","1.3518","1.3474","0.06%"
"Jan 06, 2020","1.3493","1.3499","1.3514","1.3480","-0.04%"
"Jan 03, 2020","1.3498","1.3477","1.3511","1.3465","0.19%"
"Jan 02, 2020","1.3473","1.3449","1.3484","1.3442","0.19%"
"Jan 01, 2020","1.3447","1.3462","1.3463","1.3443","-0.02%"
